site,lon,lat,sp1,sp2,sp3,wc1,wc2,wc3,wc4,wc5,wc6,wc7,wc8,wc9,wc10,wc11,wc12,wc13,wc14,wc15,wc16,wc17,wc18,wc19,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lc10,lc11,lc12,lc13,lc14
259992,-65.625,45.875,1,0,0,59.59222412109375,76.81999969482422,213.8800048828125,9345.3759765625,233.37110900878906,-125.73999786376953,359.13665771484375,-20.09000015258789,84.15777587890625,185.5688934326172,-72.21888732910156,1159.276611328125,115.00555419921875,83.44000244140625,10.227777481079102,340.8222351074219,258.3888854980469,265.881103515625,285.33221435546875,63,0,0,0,0,3,0,0,0,31,0,57,4
259994,-65.625,46.375,0,0,0,57.55555725097656,78.57444763183594,211.6522216796875,9670.0478515625,236.83999633789062,-134.38333129882812,371.1933288574219,32.59000015258789,6.474444389343262,187.50222778320312,-79.10778045654297,1112.3055419921875,105.09444427490234,81.55110931396484,7.584444522857666,307.0411071777344,255.24888610839844,277.3399963378906,262.2144470214844,67,0,0,1,0,0,0,0,0,31,0,55,4
259995,-65.625,46.625,1,0,0,55.59000015258789,78.029998779296875,209.31333923339844,9738.9873046875,235.1155548095703,-137.5800018310547,372.70220947265625,-13.948888778686523,16.093334197998047,186.26222229003906,-82.26000213623047,1173.6422119140625,110.88888549804688,85.66222381591797,8.067777633666992,327.7588806152344,270.21112060546875,290.96221923828125,274.9244384765625,67,0,0,0,0,0,0,0,0,31,0,55,4
259996,-65.625,46.875,1,0,0,55.53888702392578,76.94999694824219,206.1844482421875,9799.984375,234.85777282714844,-138.3766632080078,373.260009765625,-2.277777671813965,-37.898887634277344,186.7899932861328,-83.4566650390625,1110.3656005859375,104.41666412353516,78.41222381591797,8.779999732971191,311.62554931640625,250.3188934326172,278.7133483886719,252.9822235107422,61,0,0,0,0,1,0,0,0,32,0,72,5
259997,-65.625,47.125,1,0,0,50.1522216796875,75.7411117553711,203.94000244140625,9788.7119140625,228.12889099121094,-143.2566680908203,371.3933410644531,34.29666519165039,-53.28333282470703,181.1133270263672,-88.96888732910156,1107.6121826171875,105.56666564941406,74.0888900756836,10.084444046020508,309.23333740234375,238.98333740234375,292.1766662597656,241.3477783203125,63,0,0,0,0,0,0,0,0,32,0,72,4
259998,-65.625,47.375,1,0,0,47.40444564819336,74.71666717529297,201.45777893066406,9816.935546875,224.6844482421875,-146.1044464111328,370.8122253417969,53.94333267211914,-34.60333251953125,178.52000427246094,-92.39888763427734,1158.29443359375,114.14221954345703,77.58222198486328,11.024444580078125,324.37445068359375,248.35667419433594,313.3622131347656,251.7344512939453,67,0,0,0,0,0,0,0,0,31,0,55,4
259999,-65.625,47.625,1,0,0,49.358489990234375,74.148040771484375,198.93032836914062,9913.0234375,227.2293243408203,-145.53700256347656,372.7460021972656,103.91436767578125,-71.740203857421875,181.49636840820312,-92.088531494140625,1072.1422119140625,104.46154022216797,72.161102294921875,10.599419593811035,299.02032470703125,229.27867126464844,295.6734313964844,230.51959228515625,41,0,0,0,0,2,1,0,0,22,0,59,4
260000,-65.625,47.875,1,0,0,49.0444450378418,75,199,10020.533203125,228.2888946533203,-148.04444885253906,376.3777770996094,182.022216796875,-94.0888900756836,182.022216796875,-94.0888900756836,941.20001220703125,89.77777862548828,60.53333282470703,10.911110877990723,265.9111022949219,192.4888916015625,265.9111022949219,192.4888916015625,1,0,0,0,0,0,0,0,0,0,0,66,4
260001,-65.625,48.125,1,0,0,39.36867904663086,73.01631164550781,195.6590576171875,10005.8515625,217.00489807128906,-156.15823364257812,373.1598815917969,172.14682006835938,-97.0179443359375,172.14682006835938,-104.09298706054688,1006.5807495117188,103.38336181640625,59.8156623840332,14.580750465393066,303.8124084472656,194.30831909179688,303.8124084472656,194.820556640625,41,0,0,0,0,4,0,0,0,20,0,54,3
260002,-65.625,48.375,1,0,0,29.448888778686523,72.13555908203125,195.0044403076172,9944.7587890625,205.4344482421875,-164.4522247314453,369.9155578613281,161.00999450683594,-112.22555541992188,161.24888610839844,-113.36555480957031,1007.522216796875,104.10444641113281,60.171112060546875,14.056666374206543,304.89666748046875,198.0611114501953,304.8922119140625,198.11778259277344,66,0,0,0,0,0,0,0,0,32,0,55,3
260003,-65.625,48.625,1,0,0,18.046667098999023,68.85221862792969,190.74110412597656,9777.7265625,189.52333068847656,-171.41221618652344,360.95111083984375,146.71556091308594,-72.59222412109375,147.6377716064453,-122.79777526855469,1010.7611083984375,104.27889251708984,60.94333267211914,14.84666633605957,308.41778564453125,200.8544464111328,308.4033203125,203.8433380126953,63,0,0,0,0,5,0,0,0,30,0,53,3
260004,-65.625,48.875,1,0,0,9.904444694519043,61.948890686035156,179.61111450195312,9490.775390625,173.131103515625,-171.60556030273438,344.75665283203125,100.0344467163086,-8.465555191040039,136.1455535888672,-127.44222259521484,1023.760009765625,105.16555786132812,62.5,15.66333293914795,309.8033447265625,199.01666259765625,307.6655578613281,214.6455535888672,67,0,0,0,0,0,0,0,0,31,0,56,3
260005,-65.625,49.125,1,0,0,18.92393684387207,52.23377990722656,159.03244018554688,9286.7158203125,173.5067138671875,-154.73153686523438,328.2203674316406,79.15547943115234,-20.322147369384766,143.2371368408203,-116.21476745605469,936.18792724609375,95.49776458740234,57.993289947509766,14.549217224121094,277.6118469238281,184.28970336914062,272.4295349121094,199.69015502929688,66,0,0,0,0,0,0,0,0,31,0,55,3
260006,-65.625,49.375,0,0,0,37.29411697387695,46.588233947753906,144.35293579101562,9312.2939453125,188.8235321044922,-134.1764678955078,322.941162109375,-35.52941131591797,58.588233947753906,162.2941131591797,-98.5882339477539,908.82354736328125,98.05882263183594,58.29411697387695,14.764705657958984,275.4705810546875,176.8235321044922,238.41175842285156,213.1764678955078,0,0,0,0,0,0,0,0,0,0,0,1,0
260010,-65.625,50.375,1,0,0,17.740697860717773,44.92674255371094,136.9290771484375,9485.0595703125,169.61279296875,-158.30929565429688,327.906982421875,107.4906997680664,-100.09651184082031,144.38372802734375,-121.00115966796875,1074.9488525390625,115.26860809326172,61.18953323364258,17.760465621948242,333.8011779785156,195.6999969482422,305.7279052734375,197.9941864013672,64,0,0,0,0,0,0,0,0,28,0,59,2
260022,-65.625,53.375,1,0,0,-28.981111526489258,69.07111358642578,162.24221801757812,12092.59765625,176.4277801513672,-250.48666381835938,426.9333190917969,123.3022232055664,-203.0611114501953,128.41111755371094,-203.1744384765625,877.82666015625,109.0088882446289,47.16444396972656,25.127777099609375,305.03778076171875,154.83888244628906,290.6644592285156,154.8411102294922,98,0,0,0,0,0,0,0,0,0,0,31,1
260027,-65.625,54.625,1,0,0,-33.93000030517578,68,159.44667053222656,12132.90234375,172.08444213867188,-252.9344482421875,425.1266784667969,120.29222106933594,-194.5399932861328,124.9888916015625,-209.49000549316406,757.2633056640625,98.39888763427734,39.03888702392578,32.13999938964844,276.49554443359375,125.62110900878906,274.292236328125,126.08222198486328,97,0,0,0,0,0,0,0,0,0,0,30,1
260554,-65.375,44.375,1,0,0,68.87110900878906,64.66777801513672,216.1155548095703,7897.111328125,214.6922149658203,-84.51444244384766,299.1811218261719,-31.494443893432617,168.83555603027344,178.086669921875,-42.03555679321289,1287.1866455078125,138.36111450195312,86.05889129638672,16.933332443237305,412.2533264160156,259.9477844238281,263.16778564453125,350.5799865722656,61,0,0,0,0,0,0,0,0,29,0,56,5
260555,-65.375,44.625,1,0,0,65.74888610839844,67.49888610839844,218.1999969482422,8115.15087890625,216.87222290039062,-92.4588851928711,309.336669921875,-29.606666564941406,169.39332580566406,177.45443725585938,-48.184444427490234,1339.9622802734375,147.12110900878906,91.37333679199219,17.607778549194336,435.23333740234375,274.9989013671875,278.42889404296875,363.5211181640625,66,0,0,0,0,0,0,0,0,30,0,56,4
260556,-65.375,44.875,1,1,0,68.27338409423828,68.7014389038086,216.85430908203125,8308.5859375,222.90467834472656,-93.93885040283203,316.8435363769531,-11.570143699645996,137.05935668945312,182.2392120361328,-48.42985534667969,1298.2860107421875,143.76979064941406,86.92086029052734,17.514389038085938,421.8705139160156,262.431640625,270.0018005371094,349.6636657714844,32,0,0,0,0,5,0,0,1,17,0,58,5
260558,-65.375,45.375,1,0,0,58.06474685668945,73.07913970947266,215.08273315429688,8857.982421875,222.9352569580078,-116.79496765136719,339.7014465332031,-14.298561096191406,79.49640655517578,178.33453369140625,-66.70863342285156,1236.59716796875,122.45323944091797,84.10071563720703,11.161870956420898,362.00360107421875,265.8129577636719,272,287.0899353027344,0,21,0,0,0,0,0,0,0,0,0,70,0
260559,-65.375,45.625,1,0,0,53.8577766418457,74.81999969482422,215.7322235107422,9016.8701171875,222.0611114501953,-124.75,346.81109619140625,-25.971111297607422,175.17222595214844,176.0722198486328,-73.28888702392578,1337.683349609375,140.68556213378906,86.21888732910156,15.05222225189209,414.6011047363281,269.5788879394531,269.60333251953125,335.9211120605469,62,0,0,0,0,4,0,0,0,31,0,57,4
260560,-65.375,45.875,1,1,0,58.87444305419922,76.30555725097656,213.27333068847656,9310.4267578125,232.12445068359375,-125.6433334350586,357.7266540527344,-18.55555534362793,112.31666564941406,184.75889587402344,-72.578887939453125,1201.2889404296875,116.32888793945312,85.4000015258789,9.9633331298828125,346.4666748046875,268.8155517578125,271.5310974121094,288.07000732421875,54,0,0,0,0,11,0,0,2,31,0,61,4
260561,-65.375,46.125,1,0,0,59.114444732666016,76.61888885498047,210.67555236816406,9488.142578125,234.92333984375,-128.74777221679688,363.6966552734375,43.877777099609375,29.816667556762695,187.25889587402344,-75.03888702392578,1138.4832763671875,107.08444213867188,82.53333282470703,8.09666633605957,315.24334716796875,259.9588928222656,281.2789001464844,269.85443115234375,62,0,0,0,0,2,0,0,0,30,0,56,4
260562,-65.375,46.375,0,0,0,57.3922233581543,76.05999755859375,207.7244415283203,9586.822265625,234.0577850341797,-132.08111572265625,366.1433410644531,46.62333297729492,62.18888854980469,186.76222229003906,-78.34111022949219,1138.02783203125,106.07333374023438,83.41889190673828,7.4311113357543945,310.0299987792969,262.71112060546875,282.0899963378906,269.18890380859375,67,0,0,1,0,0,0,0,0,31,0,55,4
260563,-65.375,46.625,1,0,0,55.13666534423828,74.910003662109375,204.4844512939453,9635.8134765625,231.52999877929688,-134.73666381835938,366.3055419921875,25.945554733276367,20.46555519104004,185.19888305664062,-81.50444793701172,1102.46337890625,101.96111297607422,80.75,7.461111068725586,301.1066589355469,255.64222717285156,272.4033203125,258.2411193847656,66,0,0,0,0,0,0,0,0,31,0,55,4
260564,-65.375,46.875,1,0,0,55.02888870239258,73.45777893066406,200.71556091308594,9681.798828125,230.82666015625,-135.1022186279297,365.9466552734375,8.39555549621582,35.959999084472656,185.55555725097656,-82.524444580078125,1100.08447265625,103.86888885498047,80.70111083984375,8.9399995803833,310.35888671875,248.79888916015625,270.5877685546875,261.03778076171875,66,0,0,0,0,0,0,0,0,31,0,56,4
260565,-65.375,47.125,1,0,0,53.23760223388672,72.039215087890625,197.4371337890625,9704.2236328125,228.02191162109375,-136.7762451171875,364.8119812011719,37.86389923095703,-13.608996391296387,183.93080139160156,-84.91695404052734,987.09228515625,94.33794403076172,69.7116470336914,9.464820861816406,277.0703430175781,215.43482971191406,251.47750854492188,225.36563110351562,52,0,0,0,0,2,0,0,0,32,0,131,6
260566,-65.375,47.375,1,0,0,47.88222122192383,70.72110748291016,194.94444274902344,9694.0068359375,221.27777099609375,-141.42111206054688,362.7144470214844,9.520000457763672,-50.063331604003906,178.25778198242188,-90.43333435058594,1000.9833374023438,96.27111053466797,69.00444793701172,9.829999923706055,280.3122253417969,218.4888916015625,260.8833312988281,221.977783203125,66,0,0,0,0,0,0,0,0,31,0,55,4
260567,-65.375,47.625,1,0,0,47.055419921875,69.70722961425781,192.06385803222656,9751.7568359375,220.26023864746094,-142.69155883789062,362.9638671875,-33.840965270996094,-55.6951789855957,178.00723266601562,-92.36988067626953,1102.5987548828125,109.0662612915039,77.22650909423828,10.425301551818848,318.70001220703125,245.95542907714844,286.5831298828125,246.98915100097656,58,0,0,0,0,1,0,0,0,28,0,56,3
260568,-65.375,47.875,1,0,0,48.931819915771484,67.75,187.36363220214844,9779.5908203125,221.22727966308594,-139.97727966308594,361.2727355957031,-31.56818199157715,34.6363639831543,180.47727966308594,-91,1124.6136474609375,114.29545593261719,79.2727279663086,11.227272987365723,333,250.34091186523438,289.5,253.5,2,0,0,0,0,0,0,0,0,0,0,66,4
260569,-65.375,48.125,1,0,0,38.98400115966797,69.24456787109375,189.87771606445312,9859.68359375,212.63771057128906,-152.03428649902344,364.6662902832031,160.89828491210938,-89.72457122802734,170.7108612060547,-102.55314636230469,1083.3280029296875,108.79542541503906,67.025146484375,13.692571640014648,317.7291564941406,214.52685546875,317.3017272949219,215.32228088378906,59,0,1,0,0,4,0,0,0,29,0,54,3
260570,-65.375,48.375,1,0,0,25.479999542236328,68.6322250366211,190.195556640625,9770.958984375,197.21665954589844,-163.5911102294922,360.8122253417969,127.76777648925781,-113.09889221191406,155.74444580078125,-115.06999969482422,1121.719970703125,112.10221862792969,70.73999786376953,13.028888702392578,328.8277893066406,228.78555297851562,327.2810974121094,228.81333923339844,67,0,0,0,0,0,0,0,0,31,0,55,3
260572,-65.375,48.875,1,0,0,12.652222633361816,59.57777786254883,175.08555603027344,9425.4912109375,173.81222534179688,-166.2888946533203,340.098876953125,105.44444274902344,-63.475555419921875,138.6477813720703,-123.87666320800781,964.90557861328125,98.43111419677734,59.87888717651367,14.472222328186035,287.2611083984375,195.9388885498047,286.2210998535156,199.0433349609375,67,0,0,0,0,0,0,0,0,31,0,56,3
260573,-65.375,49.125,1,0,0,20.641340255737305,50.370948791503906,155.3329620361328,9225.5146484375,173.4189910888672,-150.7005615234375,324.1240234375,64.9474868774414,-11.739665031433105,144.63575744628906,-113.66815948486328,920.98883056640625,94.8525161743164,58.62458038330078,14.358658790588379,273.1474914550781,186.1944122314453,263.30950927734375,198.8245849609375,65,0,0,0,0,0,0,0,0,31,0,55,3
260578,-65.375,50.375,1,0,0,18.42533302307129,44.26533508300781,135.68533325195312,9451.9755859375,169.44000244140625,-156.52133178710938,325.95599365234375,74.01466369628906,-112.59200286865234,144.96932983398438,-119.85600280761719,1061.557373046875,113.55599975585938,58.13066482543945,18.423999786376953,333.4360046386719,188.33200073242188,298.40399169921875,189.00799560546875,60,0,0,1,0,0,0,0,0,17,0,33,1
260579,-65.375,50.625,1,0,0,5.285555362701416,53.76777648925781,154.1155548095703,9855.556640625,167.9277801513672,-180.6911163330078,348.6055603027344,71.14888763427734,-136.21665954589844,135.99000549316406,-138.09222412109375,1083.16552734375,116.00111389160156,56.918888092041016,19.420000076293945,339.8166809082031,185.0044403076172,308.5022277832031,185.15110778808594,75,0,0,0,0,0,0,0,0,21,0,33,1
260580,-65.375,50.875,1,0,0,-5.777777671813965,63.93777847290039,170.78443908691406,10343.77734375,170.16555786132812,-204.04222106933594,374.20001220703125,75.67778015136719,-150.6266632080078,130.07000732421875,-155.29222106933594,1090.7088623046875,115.51222229003906,56.86000061035156,19.99222183227539,340.0310974121094,184.52444458007812,319.14776611328125,184.89111328125,97,0,0,0,0,0,0,0,0,0,0,31,1
260590,-65.375,53.375,0,0,0,-29.54888916015625,69.52555847167969,163.2344512939453,12048.287109375,175.34222412109375,-250.56443786621094,425.9055480957031,121.99666595458984,-201.0822296142578,127.30889129638672,-203.16888427734375,912.85223388671875,112.72110748291016,48.91222381591797,25.441110610961914,316.0977783203125,160.5,301.2855529785156,160.5388946533203,93,0,0,0,0,0,0,0,0,0,0,31,1
260606,-65.375,57.375,1,0,0,-49.63999938964844,68,161.24444580078125,11970.8935546875,159.1999969482422,-264.93890380859375,424.1877746582031,107.01444244384766,-108.66666412353516,108.72000122070312,-225.41888427734375,559.57330322265625,82.31999969482422,23.88777732849121,46.163333892822266,241.35110473632812,72.29888916015625,241.30555725097656,82.28221893310547,95,0,0,0,0,0,0,0,0,0,0,5,0
