longitude,latitude,sp1,sp2,sp3,wc1,wc2,wc3,wc4,wc5,wc6,wc7,wc8,wc9,wc10,wc11,wc12,wc13,wc14,wc15,wc16,wc17,wc18,wc19,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lc9,lc10
-79.75,46.75,,1.0,1.0,3.0265625,10.8446665,24.693972,1171.5159,23.9445,-19.97175,43.916252,11.8395,-5.667625,16.656584,-12.112583,941.0,99.0,51.0,19.466166,287.0,177.0,272.0,186.0,0.0,0.0,6.0,0.0,3.0,0.0,79.0,0.0,12.0,2.0
-79.75,47.083333333333336,,1.0,,2.5760834,11.073334,24.57655,1197.8785,23.895,-21.1615,45.056503,11.550333,-6.1766253,16.517292,-12.949458,896.0,94.0,47.0,20.638704,275.0,169.0,268.0,171.0,0.0,0.0,5.0,0.0,3.0,0.0,79.0,0.0,13.0,2.0
-79.75,47.416666666666664,1.0,1.0,,2.47225,11.322416,24.671068,1218.8483,24.13825,-21.755249,45.8935,15.607833,-12.125417,16.597876,-13.361625,842.0,91.0,42.0,22.86114,267.0,154.0,260.0,154.0,1.0,4.0,19.0,0.0,9.0,0.0,62.0,1.0,6.0,1.0
-79.75,47.583333333333336,1.0,1.0,1.0,2.572625,11.76375,25.394915,1237.0708,24.6275,-21.69575,46.32325,15.754209,-13.535791,16.817541,-13.535791,814.0,90.0,41.0,22.674892,260.0,150.0,250.0,150.0,4.0,38.0,25.0,0.0,8.0,0.0,22.0,2.0,0.0,0.0
-79.75,47.75,1.0,,1.0,2.3564582,11.864834,25.40432,1238.8677,24.4195,-22.2845,46.704002,15.541958,-12.491625,16.604292,-13.819667,812.0,90.0,41.0,23.054188,262.0,150.0,252.0,151.0,3.0,32.0,23.0,0.0,10.0,0.0,31.0,1.0,0.0,1.0
-79.75,47.916666666666664,,1.0,1.0,1.8993646,11.511604,24.78839,1232.4661,23.74575,-22.69375,46.4395,15.112291,-6.934583,16.151001,-14.1775,841.0,94.0,44.0,23.174051,272.0,154.0,263.0,163.0,0.0,1.0,10.0,0.0,5.0,0.0,79.0,0.0,5.0,1.0
-79.75,48.75,,,1.0,0.94791675,11.441709,24.376606,1262.419,23.164751,-23.7725,46.93725,14.61075,-8.245292,15.651501,-15.473208,846.0,103.0,39.0,32.33875,300.0,127.0,286.0,155.0,0.0,0.0,6.0,0.0,4.0,0.0,67.0,0.0,23.0,1.0
-79.75,61.916666666666664,1.0,,,-7.8808436,4.991437,11.705448,1334.8765,13.64175,-29.00025,42.642,3.6138334,-24.683125,7.8150415,-24.683125,300.0,51.0,9.0,54.565624,132.0,29.0,102.0,29.0,47.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0
-79.58333333333333,44.083333333333336,1.0,1.0,1.0,6.394219,9.636188,25.501667,1031.6516,25.745,-12.0415,37.7865,18.146584,-6.1056666,18.637543,-6.472,836.0,87.0,50.0,19.245787,251.0,156.0,250.0,160.0,1.0,38.0,20.0,0.0,2.0,0.0,27.0,12.0,0.0,0.0
-79.58333333333333,44.25,1.0,1.0,,6.2651143,9.668521,25.314405,1040.2136,25.613,-12.58075,38.193752,18.12375,-6.4603333,18.546125,-6.6539583,863.0,88.0,51.0,18.329428,253.0,163.0,249.0,171.0,0.0,30.0,18.0,0.0,2.0,0.0,27.0,8.0,15.0,1.0
-79.58333333333333,44.416666666666664,1.0,1.0,1.0,6.1288853,9.599479,25.080122,1042.8627,25.4035,-12.87175,38.27525,14.492083,-2.5990832,18.41825,-6.8021665,903.0,94.0,53.0,17.693874,261.0,171.0,250.0,192.0,0.0,22.0,16.0,0.0,2.0,0.0,28.0,9.0,23.0,0.0
-79.58333333333333,44.583333333333336,1.0,1.0,,5.621625,9.798291,25.299135,1059.949,25.06675,-13.663,38.72975,-4.1357083,-2.8142083,18.100792,-7.7037916,1006.0,103.0,61.0,16.1457,290.0,192.0,251.0,250.0,0.0,21.0,22.0,0.0,2.0,0.0,51.0,2.0,2.0,0.0
-79.58333333333333,44.75,1.0,1.0,1.0,5.82875,10.073875,25.739536,1061.3154,25.23375,-13.904,39.13775,-4.052,-2.4477084,18.280666,-7.629833,1031.0,106.0,63.0,17.643787,312.0,197.0,243.0,273.0,0.0,15.0,22.0,0.0,3.0,0.0,59.0,1.0,1.0,1.0
-79.58333333333333,44.916666666666664,1.0,1.0,,5.6361666,10.061125,25.662045,1061.2296,24.883749,-14.3225,39.20625,-4.327417,-2.5872083,18.050959,-7.8654165,1061.0,109.0,66.0,18.161545,323.0,204.0,244.0,282.0,0.0,0.0,15.0,0.0,4.0,0.0,75.0,0.0,6.0,3.0
